,date,restriction,level
0,2020-03-17,Work from home advised,-5
1,2020-03-21,Pubs and hospitality close,-3
2,2020-03-23,Schools close,-1
3,2020-03-24,Lockdown 1,1
4,2020-05-11,Stay alert,3
5,2020-06-01,Schools reopen,5
6,2020-06-15,Shops reopen,-5
7,2020-07-04,Hospitality reopens,-3
8,2020-08-01,Covid secure workplaces introduced,-1
9,2020-08-03,Eat out to help out,1
10,2020-08-31,End of eat out to help out,3
11,2020-09-14,Rule of 6,5
12,2020-09-22,WFH encouraged again,-5
13,2020-09-24,Curfew,-3
14,2020-10-14,Tier 1,-1
15,2020-10-17,Tier 2,1
16,2020-11-05,Lockdown 2,3
17,2020-12-02,Tier 2,5
18,2020-12-16,Tier 3,-5
19,2020-12-20,Tier 4,-3
20,2021-01-05,Lockdown 3,-1
21,2021-03-08,Roadmap out of lockdown: Step 1.1,1
22,2021-03-29,Roadmap out of lockdown: Step 1.2,3
23,2021-04-12,Roadmap out of lockdown: Step 2,5
24,2021-05-17,Roadmap out of lockdown: Step 3,-5
25,2021-07-19,Roadmap out of lockdown: Step 4,-3
26,2021-12-13,Plan B,-1
27,2021-12-13,WFH encouraged,1
28,2022-01-27,Return to Plan A,3
